stu_id,name,semester_id,avg_grade,attendance_percentage,assessment_count,avg_score,engagement_ratio,consistency_diff,assessment_level,risk_score,score_improvement,at_risk
1,Rachel Arnold,1,32.0,40,3,40.33,10.0,8.329999999999998,0,88.0,8.329999999999998,1
1,Rachel Arnold,1,80.0,65,3,79.0,16.25,1.0,0,15.0,-1.0,0
1,Rachel Arnold,1,76.0,66,3,66.67,16.5,9.329999999999998,0,18.0,-9.329999999999998,0
1,Rachel Arnold,1,32.0,72,3,38.33,18.0,6.329999999999998,0,56.0,6.329999999999998,1
1,Rachel Arnold,2,50.0,66,3,75.0,16.5,25.0,0,44.0,25.0,1
1,Rachel Arnold,2,98.0,71,3,63.67,17.75,34.33,0,0.0,-34.33,0
1,Rachel Arnold,2,99.0,99,3,64.67,24.75,34.33,0,0.0,-34.33,0
1,Rachel Arnold,3,33.0,49,3,37.67,12.25,4.670000000000002,0,78.0,4.670000000000002,1
1,Rachel Arnold,3,93.0,72,3,74.67,18.0,18.33,0,0.0,-18.33,0
1,Rachel Arnold,3,40.0,74,3,32.67,18.5,7.329999999999998,0,46.0,-7.329999999999998,1
2,Jennifer Roberts,1,39.0,63,3,41.33,15.75,2.3299999999999983,0,58.0,2.3299999999999983,1
2,Jennifer Roberts,1,62.0,80,3,73.0,20.0,11.0,0,18.0,11.0,0
2,Jennifer Roberts,2,30.0,34,3,45.67,8.5,15.670000000000002,0,96.0,15.670000000000002,1
2,Jennifer Roberts,2,96.0,70,3,72.33,17.5,23.67,0,0.0,-23.67,0
2,Jennifer Roberts,3,97.0,74,3,76.67,18.5,20.33,0,0.0,-20.33,0
2,Jennifer Roberts,3,69.0,80,3,86.33,20.0,17.33,0,11.0,17.33,0
2,Jennifer Roberts,3,53.0,96,3,80.33,24.0,27.33,0,11.0,27.33,1
3,Leah Owens,1,88.0,80,3,68.67,20.0,19.33,0,0.0,-19.33,0
3,Leah Owens,1,93.0,81,3,82.67,20.25,10.329999999999998,0,0.0,-10.329999999999998,0
3,Leah Owens,1,96.0,83,3,68.0,20.75,28.0,0,0.0,-28.0,0
3,Leah Owens,2,97.0,79,3,94.67,19.75,2.3299999999999983,0,0.0,-2.3299999999999983,0
3,Leah Owens,2,81.0,87,3,74.33,21.75,6.670000000000002,0,0.0,-6.670000000000002,0
3,Leah Owens,2,73.0,89,3,80.0,22.25,7.0,0,0.0,7.0,0
3,Leah Owens,3,73.0,60,3,83.0,15.0,10.0,0,27.0,10.0,0
3,Leah Owens,3,71.0,87,3,78.67,21.75,7.670000000000002,0,2.0,7.670000000000002,0
4,Steven Mcknight,1,91.5,68,6,73.67,9.714285714285714,17.83,1,0.5,-17.83,0
4,Steven Mcknight,1,64.0,73,3,83.67,18.25,19.67,0,23.0,19.67,0
4,Steven Mcknight,1,91.0,87,3,58.0,21.75,33.0,0,0.0,-33.0,0
4,Steven Mcknight,2,46.0,56,3,47.33,14.0,1.3299999999999983,0,58.0,1.3299999999999983,1
4,Steven Mcknight,2,96.0,69,3,79.33,17.25,16.67,0,0.0,-16.67,0
4,Steven Mcknight,2,96.0,86,3,70.0,21.5,26.0,0,0.0,-26.0,0
4,Steven Mcknight,2,90.0,92,3,61.67,23.0,28.33,0,0.0,-28.33,0
4,Steven Mcknight,3,44.0,49,3,41.33,12.25,2.6700000000000017,0,67.0,-2.6700000000000017,1
4,Steven Mcknight,3,87.0,97,3,82.0,24.25,5.0,0,0.0,-5.0,0
5,Ana Hill,1,49.0,48,3,37.67,12.0,11.329999999999998,0,63.0,-11.329999999999998,1
5,Ana Hill,1,92.0,62,3,90.67,15.5,1.3299999999999983,0,6.0,-1.3299999999999983,0
5,Ana Hill,1,66.0,77,3,78.0,19.25,12.0,0,17.0,12.0,0
5,Ana Hill,1,59.0,80,3,77.0,20.0,18.0,0,21.0,18.0,1
5,Ana Hill,2,67.0,63,3,62.0,15.75,5.0,0,30.0,-5.0,0
5,Ana Hill,2,48.0,66,3,43.33,16.5,4.670000000000002,0,46.0,-4.670000000000002,1
5,Ana Hill,2,93.0,94,3,73.33,23.5,19.67,0,0.0,-19.67,0
5,Ana Hill,3,71.0,67,3,80.0,16.75,9.0,0,22.0,9.0,0
5,Ana Hill,3,78.0,68,3,78.67,17.0,0.6700000000000017,0,14.0,0.6700000000000017,0
5,Ana Hill,3,96.0,71,3,80.0,17.75,16.0,0,0.0,-16.0,0
5,Ana Hill,3,59.0,77,3,69.33,19.25,10.329999999999998,0,24.0,10.329999999999998,1
5,Ana Hill,3,98.0,96,3,70.67,24.0,27.33,0,0.0,-27.33,0
6,Anthony Craig,1,87.0,85,3,69.33,21.25,17.67,0,0.0,-17.67,0
6,Anthony Craig,1,95.0,87,3,69.33,21.75,25.67,0,0.0,-25.67,0
6,Anthony Craig,1,74.0,98,3,81.33,24.5,7.329999999999998,0,0.0,7.329999999999998,0
6,Anthony Craig,2,42.0,51,3,44.67,12.75,2.6700000000000017,0,67.0,2.6700000000000017,1
6,Anthony Craig,2,60.0,61,3,75.0,15.25,15.0,0,39.0,15.0,0
6,Anthony Craig,2,85.0,83,3,82.0,20.75,3.0,0,0.0,-3.0,0
6,Anthony Craig,2,51.0,96,3,75.33,24.0,24.33,0,13.0,24.33,1
6,Anthony Craig,3,35.0,54,3,42.33,13.5,7.329999999999998,0,71.0,7.329999999999998,1
6,Anthony Craig,3,59.0,66,3,67.0,16.5,8.0,0,35.0,8.0,1
6,Anthony Craig,3,71.0,71,3,70.0,17.75,1.0,0,18.0,-1.0,0
6,Anthony Craig,3,95.0,100,3,68.67,25.0,26.33,0,0.0,-26.33,0
7,Jason Elliott,1,87.0,75,3,64.33,18.75,22.67,0,0.0,-22.67,0
7,Jason Elliott,1,84.0,90,3,69.33,22.5,14.670000000000002,0,0.0,-14.670000000000002,0
7,Jason Elliott,1,95.0,92,3,76.67,23.0,18.33,0,0.0,-18.33,0
7,Jason Elliott,2,34.0,41,3,34.67,10.25,0.6700000000000017,0,85.0,0.6700000000000017,1
7,Jason Elliott,2,70.0,78,3,75.67,19.5,5.670000000000002,0,12.0,5.670000000000002,0
7,Jason Elliott,2,54.0,80,3,69.33,20.0,15.329999999999998,0,26.0,15.329999999999998,1
7,Jason Elliott,2,81.0,87,3,64.0,21.75,17.0,0,0.0,-17.0,0
7,Jason Elliott,3,37.0,46,3,38.0,11.5,1.0,0,77.0,1.0,1
7,Jason Elliott,3,47.0,50,3,37.67,12.5,9.329999999999998,0,63.0,-9.329999999999998,1
7,Jason Elliott,3,53.0,66,3,58.67,16.5,5.670000000000002,0,41.0,5.670000000000002,1
7,Jason Elliott,3,56.0,81,3,97.0,20.25,41.0,0,23.0,41.0,1
8,Megan Hampton,1,37.0,49,3,33.0,12.25,4.0,0,74.0,-4.0,1
8,Megan Hampton,1,79.0,97,3,73.33,24.25,5.670000000000002,0,0.0,-5.670000000000002,0
8,Megan Hampton,1,86.0,98,3,79.0,24.5,7.0,0,0.0,-7.0,0
8,Megan Hampton,2,54.0,69,3,69.67,17.25,15.670000000000002,0,37.0,15.670000000000002,1
8,Megan Hampton,2,61.0,86,3,82.33,21.5,21.33,0,13.0,21.33,0
8,Megan Hampton,2,97.0,94,3,76.67,23.5,20.33,0,0.0,-20.33,0
8,Megan Hampton,2,74.0,100,3,92.33,25.0,18.33,0,0.0,18.33,0
8,Megan Hampton,3,53.0,82,3,73.0,20.5,20.0,0,25.0,20.0,1
8,Megan Hampton,3,78.0,84,3,86.0,21.0,8.0,0,0.0,8.0,0
9,Dominic Cook,1,59.0,67,3,86.67,16.75,27.67,0,34.0,27.67,1
9,Dominic Cook,1,53.0,71,3,68.0,17.75,15.0,0,36.0,15.0,1
9,Dominic Cook,2,65.0,62,3,85.33,15.5,20.33,0,33.0,20.33,0
9,Dominic Cook,2,78.0,76,3,80.33,19.0,2.3299999999999983,0,6.0,2.3299999999999983,0
9,Dominic Cook,2,85.0,88,3,85.33,22.0,0.3299999999999983,0,0.0,0.3299999999999983,0
9,Dominic Cook,2,99.0,94,3,91.67,23.5,7.329999999999998,0,0.0,-7.329999999999998,0
9,Dominic Cook,3,91.0,65,3,56.0,16.25,35.0,0,4.0,-35.0,0
9,Dominic Cook,3,79.0,79,3,70.33,19.75,8.670000000000002,0,2.0,-8.670000000000002,0
9,Dominic Cook,3,99.0,88,3,67.67,22.0,31.33,0,0.0,-31.33,0
10,Kevin Hall,1,97.0,74,3,80.33,18.5,16.67,0,0.0,-16.67,0
10,Kevin Hall,1,94.0,86,3,86.67,21.5,7.329999999999998,0,0.0,-7.329999999999998,0
10,Kevin Hall,1,82.5,88,6,78.5,12.571428571428571,4.0,1,0.0,-4.0,0
10,Kevin Hall,2,72.0,84,3,75.67,21.0,3.6700000000000017,0,4.0,3.6700000000000017,0
10,Kevin Hall,2,53.0,88,6,75.83,12.571428571428571,22.83,1,19.0,22.83,1
10,Kevin Hall,3,99.0,66,3,88.0,16.5,11.0,0,0.0,-11.0,0
