stu_id,name,semester_id,avg_grade,attendance_percentage,avg_score,assessment_count,prev_gpa,gpa_drop
1,Rachel Arnold,1,55.0,60.8,56.1,4,0.0,False
1,Rachel Arnold,2,82.3,78.7,67.8,3,55.0,False
1,Rachel Arnold,3,55.3,65.0,48.3,3,82.3,True
2,Jennifer Roberts,1,50.5,71.5,57.2,2,0.0,False
2,Jennifer Roberts,2,63.0,52.0,59.0,2,50.5,False
2,Jennifer Roberts,3,73.0,83.3,81.1,3,63.0,False
3,Leah Owens,1,92.3,81.3,73.1,3,0.0,False
3,Leah Owens,2,83.7,85.0,83.0,3,92.3,True
3,Leah Owens,3,72.0,73.5,80.8,2,83.7,True
4,Steven Mcknight,1,82.2,76.0,71.8,3,0.0,False
4,Steven Mcknight,2,82.0,75.8,64.6,4,82.2,True
4,Steven Mcknight,3,65.5,73.0,61.7,2,82.0,True
5,Ana Hill,1,66.5,66.8,70.8,4,0.0,False
5,Ana Hill,2,69.3,74.3,59.6,3,66.5,False
5,Ana Hill,3,80.4,75.8,75.7,5,69.3,False
6,Anthony Craig,1,85.3,90.0,73.3,3,0.0,False
6,Anthony Craig,2,59.5,72.8,69.2,4,85.3,True
6,Anthony Craig,3,65.0,72.8,62.0,4,59.5,False
7,Jason Elliott,1,88.7,85.7,70.1,3,0.0,False
7,Jason Elliott,2,59.8,71.5,60.9,4,88.7,True
7,Jason Elliott,3,48.2,60.8,57.8,4,59.8,True
8,Megan Hampton,1,67.3,81.3,61.8,3,0.0,False
8,Megan Hampton,2,71.5,87.2,80.2,4,67.3,False
8,Megan Hampton,3,65.5,83.0,79.5,2,71.5,True
9,Dominic Cook,1,56.0,69.0,77.3,2,0.0,False
9,Dominic Cook,2,81.8,80.0,85.7,4,56.0,False
9,Dominic Cook,3,89.7,77.3,64.7,3,81.8,False
10,Kevin Hall,1,91.2,82.7,81.8,3,0.0,False
10,Kevin Hall,2,62.5,86.0,75.8,2,91.2,True
10,Kevin Hall,3,77.0,69.3,80.2,3,62.5,False
11,Justin Leonard,1,74.2,75.0,67.2,4,0.0,False
11,Justin Leonard,2,69.0,65.7,57.0,3,74.2,True
11,Justin Leonard,3,61.0,64.2,59.7,4,69.0,True
12,Matthew Allison,1,64.7,75.3,79.9,3,0.0,False
12,Matthew Allison,2,79.0,91.5,75.0,2,64.7,False
12,Matthew Allison,3,60.0,74.0,65.2,5,79.0,True
13,Michael Avila,1,81.5,78.5,68.6,4,0.0,False
13,Michael Avila,2,69.5,69.5,55.5,2,81.5,True
13,Michael Avila,3,45.7,60.7,53.7,3,69.5,True
14,Donna Torres,1,68.7,73.3,66.6,3,0.0,False
14,Donna Torres,2,83.0,71.3,77.8,3,68.7,False
14,Donna Torres,3,96.0,82.2,76.9,4,83.0,False
15,Kimberly Hardin,1,71.8,75.6,71.3,5,0.0,False
15,Kimberly Hardin,2,45.5,64.0,56.6,4,71.8,True
15,Kimberly Hardin,3,68.2,74.0,61.4,4,45.5,False
16,Felicia Miller,1,70.0,72.5,73.7,4,0.0,False
16,Felicia Miller,2,87.5,74.0,74.8,3,70.0,False
16,Felicia Miller,3,65.0,77.0,79.3,3,87.5,True
17,Emily Shah,1,71.3,57.3,63.3,3,0.0,False
17,Emily Shah,2,77.4,82.0,69.3,5,71.3,False
17,Emily Shah,3,73.8,81.5,73.3,4,77.4,True
18,Melissa Baker,1,67.2,67.0,60.5,4,0.0,False
18,Melissa Baker,2,72.2,82.0,74.8,4,67.2,False
18,Melissa Baker,3,63.0,90.7,70.9,3,72.2,True
19,Jennifer Sawyer,1,76.2,81.5,83.6,4,0.0,False
19,Jennifer Sawyer,2,78.2,73.0,79.1,4,76.2,False
19,Jennifer Sawyer,3,87.0,85.0,74.0,3,78.2,False
20,Caleb Pope,1,63.3,66.3,72.7,3,0.0,False
20,Caleb Pope,2,87.5,91.0,73.5,2,63.3,False
20,Caleb Pope,3,68.7,65.0,63.1,3,87.5,True
21,Jasmin Moore,1,70.0,86.0,73.8,2,0.0,False
21,Jasmin Moore,2,79.2,76.0,71.3,4,70.0,False
21,Jasmin Moore,3,52.2,74.0,57.5,4,79.2,True
22,Kenneth Lutz,1,74.0,66.5,82.5,2,0.0,False
22,Kenneth Lutz,2,72.0,77.0,73.8,2,74.0,True
22,Kenneth Lutz,3,67.0,75.0,77.8,2,72.0,True
23,Keith Hall,1,69.2,75.0,66.3,4,0.0,False
23,Keith Hall,2,69.5,67.7,64.1,3,69.2,False
23,Keith Hall,3,75.8,86.0,81.9,5,69.5,False
24,Toni Rodriguez,1,83.7,86.3,80.8,3,0.0,False
24,Toni Rodriguez,2,70.0,87.0,70.7,3,83.7,True
24,Toni Rodriguez,3,64.7,64.3,57.6,3,70.0,True
25,Steven Fleming,1,64.8,74.5,66.0,4,0.0,False
25,Steven Fleming,2,85.0,84.0,68.3,2,64.8,False
25,Steven Fleming,3,58.5,72.0,66.6,4,85.0,True
26,John Campbell,1,81.3,81.3,76.4,3,0.0,False
26,John Campbell,2,49.5,70.0,54.2,2,81.3,True
26,John Campbell,3,61.0,54.8,53.6,5,49.5,False
27,Jesse Hughes,1,78.3,78.7,84.8,3,0.0,False
27,Jesse Hughes,2,60.8,88.8,75.3,5,78.3,True
27,Jesse Hughes,3,73.5,75.2,66.8,4,60.8,False
28,Sarah Howard,1,61.5,63.0,57.8,4,0.0,False
28,Sarah Howard,2,57.5,70.2,66.7,4,61.5,True
28,Sarah Howard,3,76.0,76.0,70.2,4,57.5,False
29,Jenny Patterson,1,52.8,67.5,47.8,4,0.0,False
29,Jenny Patterson,2,72.5,71.5,79.3,2,52.8,False
29,Jenny Patterson,3,65.7,82.3,79.1,3,72.5,True
30,Felicia Small,1,72.5,72.2,64.8,4,0.0,False
30,Felicia Small,2,56.0,72.0,66.1,3,72.5,True
30,Felicia Small,3,75.2,67.2,57.2,4,56.0,False
31,Jeff Young,1,85.5,74.2,69.6,4,0.0,False
31,Jeff Young,2,62.0,84.7,73.3,3,85.5,True
31,Jeff Young,3,80.6,78.6,75.3,5,62.0,False
32,Ralph Hernandez,1,75.0,73.3,69.1,3,0.0,False
32,Ralph Hernandez,2,67.7,77.3,69.6,3,75.0,True
32,Ralph Hernandez,3,67.3,67.7,57.9,3,67.7,True
33,Barbara Smith,1,76.5,82.5,70.3,2,0.0,False
33,Barbara Smith,2,64.8,71.6,64.4,5,76.5,True
33,Barbara Smith,3,65.3,86.7,76.3,3,64.8,False
34,David Henderson,1,70.8,88.0,77.5,4,0.0,False
34,David Henderson,2,62.0,75.2,73.2,5,70.8,True
34,David Henderson,3,50.0,68.3,62.9,3,62.0,True
35,Elizabeth Choi,1,72.8,88.2,71.9,5,0.0,False
35,Elizabeth Choi,2,70.8,85.2,72.8,4,72.8,True
35,Elizabeth Choi,3,67.0,73.2,81.5,4,70.8,True
36,Jamie Orozco,1,56.2,78.0,71.2,4,0.0,False
36,Jamie Orozco,2,56.5,75.8,67.8,4,56.2,False
36,Jamie Orozco,3,60.3,61.0,71.4,3,56.5,False
37,Lisa Baker,1,76.8,78.8,77.3,4,0.0,False
37,Lisa Baker,2,77.2,78.2,76.9,5,76.8,False
37,Lisa Baker,3,83.3,76.0,88.1,3,77.2,False
38,Michael Rose,1,65.8,67.5,65.1,4,0.0,False
38,Michael Rose,2,73.3,89.0,71.8,3,65.8,False
38,Michael Rose,3,86.4,88.0,76.3,5,73.3,False
39,Jacqueline Reynolds,1,79.5,71.5,70.3,2,0.0,False
39,Jacqueline Reynolds,2,90.7,82.7,76.6,3,79.5,False
39,Jacqueline Reynolds,3,84.7,77.7,65.6,3,90.7,True
40,Joyce Hall,1,83.5,81.2,72.1,4,0.0,False
40,Joyce Hall,2,67.0,71.3,76.3,3,83.5,True
40,Joyce Hall,3,75.0,70.5,75.0,2,67.0,False
41,Christian Green,1,74.0,57.3,61.0,3,0.0,False
41,Christian Green,2,62.2,87.5,71.7,4,74.0,True
41,Christian Green,3,81.2,81.5,77.3,4,62.2,False
42,Kayla Schmidt,1,75.5,72.0,65.5,4,0.0,False
42,Kayla Schmidt,2,68.5,77.2,76.2,4,75.5,True
42,Kayla Schmidt,3,65.3,56.7,61.0,3,68.5,True
43,Tabitha White,1,56.3,65.3,56.8,3,0.0,False
43,Tabitha White,2,58.7,77.7,67.4,3,56.3,False
43,Tabitha White,3,56.3,75.0,60.2,3,58.7,True
44,Joseph Bishop,1,63.2,61.0,64.6,4,0.0,False
44,Joseph Bishop,2,75.0,82.0,70.3,4,63.2,False
44,Joseph Bishop,3,62.0,74.8,66.6,4,75.0,True
45,Abigail Bowers,1,85.9,78.5,74.8,4,0.0,False
45,Abigail Bowers,2,57.0,65.2,54.9,4,85.9,True
45,Abigail Bowers,3,69.0,75.8,83.9,4,57.0,False
46,Gail Larsen,1,72.5,65.5,74.7,4,0.0,False
46,Gail Larsen,2,72.7,67.7,60.3,3,72.5,False
46,Gail Larsen,3,67.6,84.2,71.3,5,72.7,True
47,Jacob Hughes,1,68.0,75.0,78.8,3,0.0,False
47,Jacob Hughes,2,70.8,72.2,69.5,4,68.0,False
47,Jacob Hughes,3,74.7,79.3,76.0,3,70.8,False
48,Kelly Greene,1,76.2,82.0,68.7,4,0.0,False
48,Kelly Greene,2,78.3,88.7,74.2,3,76.2,False
48,Kelly Greene,3,81.3,91.3,64.8,3,78.3,False
49,Randy Johnson,1,79.0,69.0,75.8,4,0.0,False
49,Randy Johnson,2,55.0,64.3,68.9,3,79.0,True
49,Randy Johnson,3,79.0,87.8,78.0,4,55.0,False
50,Mariah Johnson,1,49.5,60.0,61.0,4,0.0,False
50,Mariah Johnson,2,60.0,72.5,64.5,2,49.5,False
50,Mariah Johnson,3,73.0,80.5,70.5,4,60.0,False
51,Matthew Hunt,1,66.7,67.0,60.8,3,0.0,False
51,Matthew Hunt,2,60.6,67.2,64.5,5,66.7,True
51,Matthew Hunt,3,68.5,77.0,77.0,4,60.6,False
52,Nathan Copeland,1,57.8,81.8,69.0,4,0.0,False
52,Nathan Copeland,2,75.5,73.0,76.0,4,57.8,False
52,Nathan Copeland,3,53.0,53.0,54.8,2,75.5,True
53,Jennifer Ramos,1,68.3,86.7,74.7,3,0.0,False
53,Jennifer Ramos,2,76.0,83.0,75.8,3,68.3,False
53,Jennifer Ramos,3,62.7,67.7,63.0,3,76.0,True
54,Amanda Jordan,1,85.3,81.0,68.3,3,0.0,False
54,Amanda Jordan,2,65.0,77.0,77.2,2,85.3,True
54,Amanda Jordan,3,70.4,72.6,61.6,5,65.0,False
55,Tyler Macias,1,78.5,75.5,74.3,2,0.0,False
55,Tyler Macias,2,68.5,65.2,67.8,4,78.5,True
55,Tyler Macias,3,95.5,73.5,72.7,2,68.5,False
56,Roberto Phillips,1,71.5,87.5,87.3,2,0.0,False
56,Roberto Phillips,2,76.3,85.3,81.8,3,71.5,False
56,Roberto Phillips,3,81.0,80.8,84.2,4,76.3,False
57,Nancy Edwards,1,89.0,65.5,81.8,2,0.0,False
57,Nancy Edwards,2,60.3,61.7,61.3,3,89.0,True
57,Nancy Edwards,3,74.5,79.8,65.8,4,60.3,False
58,Brittany Jackson,1,31.5,50.0,38.7,2,0.0,False
58,Brittany Jackson,2,74.7,68.3,66.2,3,31.5,False
58,Brittany Jackson,3,67.8,94.2,77.8,4,74.7,True
59,Ann King,1,83.7,88.3,79.6,3,0.0,False
59,Ann King,2,63.0,60.3,73.4,3,83.7,True
59,Ann King,3,73.3,84.0,65.6,3,63.0,False
60,Jacob Cross,1,77.2,77.8,78.3,5,0.0,False
60,Jacob Cross,2,70.3,76.3,76.3,3,77.2,True
60,Jacob Cross,3,73.4,75.0,71.1,5,70.3,False
61,Mark Livingston,1,64.3,74.3,63.6,3,0.0,False
61,Mark Livingston,2,66.5,74.8,68.3,4,64.3,False
61,Mark Livingston,3,57.0,65.3,68.4,3,66.5,True
62,Anna Wilson,1,89.3,70.7,75.9,3,0.0,False
62,Anna Wilson,2,64.5,86.0,60.8,4,89.3,True
62,Anna Wilson,3,58.5,65.0,66.6,4,64.5,True
63,Deborah Harris,1,56.0,75.0,66.4,3,0.0,False
63,Deborah Harris,2,62.7,60.7,60.1,3,56.0,False
63,Deborah Harris,3,67.4,80.2,70.4,4,62.7,False
64,Andrew Williams,1,65.2,92.5,74.4,4,0.0,False
64,Andrew Williams,2,78.5,69.0,69.5,2,65.2,False
64,Andrew Williams,3,56.0,74.7,65.1,3,78.5,True
65,Joshua Johnson,1,75.7,84.3,72.0,3,0.0,False
65,Joshua Johnson,2,68.4,81.0,70.7,5,75.7,True
65,Joshua Johnson,3,64.3,76.0,69.2,3,68.4,True
66,Amanda Bailey,1,63.2,79.7,72.2,3,0.0,False
66,Amanda Bailey,2,68.2,79.5,81.0,4,63.2,False
